Survey ResponseID,Recency,Frequency,Monetary,AveragePurchaseValue,CustomerLifespan,MeanDaysBetweenPurchases,LogFutureCLV
R_12bC3rUwQ2h1sz5,4,70,471.63,6.737571428571428,1419,20.271428571428572,4.122283930911342
R_12bTyDTgHUIoMUQ,1,97,2186.77,22.5440206185567,1432,14.762886597938145,8.702274270557039
R_12bxXZmV1h6iVAL,35,124,3122.39,25.18056451612903,1277,10.298387096774194,5.124440056536745
R_12hBKyfNeSlhKZN,37,77,1042.52,13.539220779220779,1448,18.805194805194805,5.081714875777208
R_12kYTBVH8kS49hc,27,127,4296.25,33.82874015748032,1374,10.818897637795276,7.767378300131287
R_12ljGcF6IQM7Tee,197,3,47.97,15.99,198,66.0,7.054536010190332
R_12mMk3Dq3Oo4HJb,9,119,3014.84,25.334789915966386,1460,12.268907563025211,7.065297344411869
R_12mdsq5k8OiJ8ji,2,1167,26039.39,22.313101970865468,1456,1.24764353041988,9.082996653294055
R_12n9t5TqwO3mn6n,45,26,765.4300000000001,29.439615384615387,947,36.42307692307692,4.909930589974623
R_12nXZsYjzaL70kr,4,61,1079.47,17.696229508196723,734,12.032786885245901,5.885437142462452
R_12osmPZNBfvNohz,2,117,2948.97,25.204871794871792,1447,12.367521367521368,7.24785663665579
R_12sOXAypdX0UEMp,12,27,2051.05,75.96481481481482,1398,51.77777777777778,5.062215214069435
R_12xnmbrb1eoH9nn,1,1630,32299.17,19.81544171779141,1460,0.8957055214723927,8.918399912115888
R_12yXy28O9QWzFKM,11,102,4409.66,43.23196078431372,1290,12.647058823529411,6.8209438819951735
R_1BNwZP0DdTOa4rT,7,283,10855.76,38.35957597173145,1452,5.130742049469965,6.908145202951904
R_1BOXzyVhrXiWrFg,4,484,13142.49,27.153904958677685,1427,2.9483471074380163,8.841128597934313
R_1BPepcPkpmd3HIv,11,557,12612.66,22.64391382405745,1255,2.253141831238779,7.133742782428078
R_1BPfziFOM6qTGYB,324,14,380.25,27.160714285714285,1439,102.78571428571429,4.00587758089977
R_1BPo7cRkGaVw2zj,71,172,3406.15,19.803197674418605,1456,8.465116279069768,7.179125025941613
R_1BQWWqVdmq0KWpX,3,4,75.36999999999999,18.842499999999998,39,9.75,4.052306550875202
R_1BSmAJ72u4DLEly,6,63,1440.99,22.872857142857143,1324,21.015873015873016,5.429345628954441
R_1BVIsogXx71n29V,5,56,1896.38,33.86392857142857,1314,23.464285714285715,6.466004745545258
R_1BW4IryQMg43RFb,5,2,47.95,23.975,5,2.5,4.770769366637658
R_1BWAygjxkFXfxql,0,361,8498.43,23.54135734072022,1456,4.033240997229917,7.758576923542957
R_1BWxQW5L2MlpDCd,19,457,7964.84,17.428533916849016,1440,3.150984682713348,8.269013843630804
R_1C1lcmauvsBML7g,16,90,919.57,10.217444444444444,1447,16.07777777777778,4.737688565688236
R_1C1nnqKIVMlhfTh,27,60,2280.56,38.00933333333333,1458,24.3,4.85616234012204
R_1C1uOKUbDpVlGeM,5,104,2268.07,21.808365384615385,565,5.4326923076923075,7.6897783472508
R_1C465BAQuYyIY3s,2,124,4194.66,33.82790322580645,1428,11.516129032258064,8.01261799297976
R_1C4nKyrv0w2thJn,0,2080,58482.38,28.116528846153845,1460,0.7019230769230769,9.361652741895792
R_1C4tcyEfmcsKI9X,0,614,21553.8,35.103908794788275,1460,2.3778501628664497,7.580648730514814
R_1C75XRebT1eliL0,0,869,22422.94,25.803153049482162,1456,1.6754890678941312,9.389745179188736
R_1C7NqhhPa152vIZ,36,245,6014.9,24.55061224489796,1424,5.812244897959184,7.333382426914243
R_1C8RRe41aLesvyd,25,63,1678.4,26.641269841269843,1392,22.095238095238095,6.541780078560385
R_1C8t1JAe5Wo7sSl,17,191,3339.0,17.48167539267016,1432,7.49738219895288,6.522989454876879
R_1C8w4NDDQC5fcgE,0,1517,27713.55,18.26865524060646,1457,0.96044825313118,8.622356487627588
R_1C9JNFshblsSjyF,0,102,1506.39,14.768529411764707,1131,11.088235294117647,6.137316602691958
R_1C9YUFD8GunlGej,0,1105,29377.08,26.585592760180997,1439,1.302262443438914,9.355512003388446
R_1CBcqx5T9GZcMRt,98,182,4465.74,24.537032967032967,1460,8.021978021978022,6.981414579069027
R_1CDqTWLWIk642Vp,29,301,11533.47,38.31717607973422,1457,4.840531561461794,7.318771617128626
R_1CDsrhMg50NRqDR,30,84,2431.2,28.94285714285714,1418,16.88095238095238,6.619019318051597
R_1CEeWOcxWHKG89k,7,237,7760.56,32.74497890295359,1459,6.156118143459915,6.1856117379806
R_1CHdyvBKOQ3uBZ4,1,575,9448.32,16.431860869565217,1455,2.5304347826086957,7.41061324509882
R_1CIOVoUy3w1iF6O,38,175,6863.63,39.22074285714286,1460,8.342857142857143,5.272435296833932
R_1CIQjlABWt7jZWc,0,325,6433.53,19.795476923076922,1459,4.489230769230769,7.2522807156509455
R_1CJ6LgP7rtL24ny,318,38,1532.8899999999999,40.33921052631579,561,14.763157894736842,6.761074959732492
R_1CJSAA89V2pN4FB,138,61,1415.77,23.209344262295083,1432,23.475409836065573,5.200484006199273
R_1Cd5zmz07X5BqKa,15,599,13995.45,23.364691151919867,1451,2.4223706176961604,8.475151703616225
R_1CdSxzYzFm2SGuB,624,8,113.98,14.2475,1289,161.125,4.662967284714308
R_1Cew4e6dmKZSryU,3,76,1119.69,14.732763157894738,1233,16.223684210526315,6.375842202885662
R_1CexkWTJYOAs1Rc,14,171,4859.36,28.417309941520465,1453,8.497076023391813,7.2955247385546125
R_1CjNNUhUiSbeOoM,90,156,7598.85,48.71057692307693,1455,9.326923076923077,7.840340531150086
R_1CjWIsByjtP0GxZ,5,440,10088.11,22.927522727272727,1458,3.3136363636363635,7.190404708905843
R_1CjrqlIqihbkYgk,2,328,8183.53,24.949786585365853,1142,3.481707317073171,7.635815832487265
R_1ClqO4ZMDuwGjfl,1,787,16015.49,20.35005082592122,1460,1.855146124523507,8.425016497114386
R_1CmhrU1GJmKnbwz,25,363,11080.71,30.525371900826443,1419,3.909090909090909,8.167783222097196
R_1CqGMkfiCiATbn4,17,126,3181.92,25.253333333333334,1460,11.587301587301587,7.52699754369411
R_1Cqo5jWbdtMOnzE,227,6,134.87,22.478333333333335,1098,183.0,4.5321692931036015
R_1CrP2yfBldcblJm,4,119,2632.7599999999998,22.124033613445377,1441,12.109243697478991,7.551938030189356
R_1CwjzRpr3YtQm10,104,48,1480.51,30.843958333333333,1369,28.520833333333332,8.144403383444558
R_1Cx2TzfSj9KxVhR,1,707,13882.47,19.635742574257424,1392,1.968882602545969,8.766062187619523
R_1CxLS0volYi8suF,14,62,2937.09,47.37241935483871,1344,21.677419354838708,5.870341565035036
R_1Cxudu8A9eVd1uu,31,41,1722.77,42.018780487804875,764,18.634146341463413,7.727464623409796
R_1CyB9f5zdimvkgY,5,134,4822.55,35.989179104477614,1410,10.522388059701493,3.828423981551832
R_1DAmI2BFtglaWhP,3,146,8049.81,55.13568493150685,1450,9.931506849315069,8.687799727874713
R_1DArtWUMWCFGc0k,52,7,129.0,18.428571428571427,456,65.14285714285714,6.819503132556374
R_1DBjajUfMYmS4cI,3,118,1460.74,12.379152542372882,885,7.5,7.32124807877753
R_1DCt230xICUxYN0,14,74,927.74,12.537027027027028,1215,16.41891891891892,6.51666633681848
R_1DGSlefke200soD,2,1016,21886.47,21.541801181102365,1459,1.436023622047244,8.945481197808164
R_1DGVVsovR661OqT,0,143,2772.74,19.38979020979021,1455,10.174825174825175,6.575968050551183
R_1DGYq18HeymWNfH,2,179,4083.02,22.810167597765364,1294,7.229050279329609,7.73660399570081
R_1DJ4QJgrJwK7g3Y,12,483,12896.87,26.70159420289855,1457,3.0165631469979295,7.958167729204293
R_1DJdUrYA1I0QAKh,1,732,13532.26,18.48669398907104,1448,1.9781420765027322,7.445137143557821
R_1DLRE54vbCjvb6t,2,421,12623.11,29.983634204275535,1443,3.4275534441805227,7.633790664622154
R_1DN3c0hBRQtsdUT,4,324,10277.13,31.719537037037036,1448,4.469135802469136,7.062251613349695
R_1DO0yCFWRZwNW8m,9,336,13266.43,39.48342261904762,1443,4.294642857142857,8.634849996883704
R_1DO3QSVDoDTYM4y,69,36,704.59,19.571944444444444,342,9.5,6.883728944379283
R_1DOwHkGiX8DX7mF,5,516,11255.03,21.812073643410855,1459,2.8275193798449614,8.320788937291649
R_1DTocDmr98DeSu5,1,417,7959.24,19.086906474820143,1444,3.462829736211031,8.491971789041187
R_1DULPnUes4caEHg,0,648,16485.46,25.440524691358025,1460,2.253086419753086,8.605967513504556
R_1DUTc6uWTcrQ0eJ,143,66,1456.58,22.069393939393937,1439,21.803030303030305,6.865098268516152
R_1DXTNttXJvyt2M8,0,836,21967.94,26.27744019138756,1459,1.7452153110047848,8.945255710582101
R_1DYWdbAMt6LyCZH,2,853,13576.92,15.916670574443142,1455,1.7057444314185228,8.012041440746051
R_1DYjkc1gJNvrzzL,15,430,10782.37,25.075279069767443,1432,3.3302325581395347,7.414247527223855
R_1DonBwcSlvKQtt9,5,41,809.4300000000001,19.74219512195122,911,22.21951219512195,6.023713901323479
R_1DqZfuFgEoydLGw,46,140,3662.94,26.163857142857143,1289,9.207142857142857,5.453010756224518
R_1Du7cF5hhpQDgPP,10,211,3123.18,14.801800947867298,1272,6.028436018957346,7.244677414383714
R_1DuNz7P7ow9xvT2,4,105,1265.56,12.05295238095238,1436,13.676190476190476,5.873694011373474
R_1DuoH6Bkf22R6Ck,10,152,3620.45,23.818749999999998,1169,7.690789473684211,7.9477068494453915
R_1Duw20LaOXMnKSN,61,97,2332.63,24.04773195876289,1460,15.051546391752577,6.4113748196476426
R_1DzG6V05pa3lHSx,8,106,1906.4099999999999,17.985,1338,12.622641509433961,6.848228179667483
R_1E09cCgzMzFPS25,11,871,8839.93,10.149173363949483,1381,1.5855338691159586,7.360714473618614
R_1E0ZZlhukNsNc7w,19,250,3398.04,13.59216,1352,5.408,7.845901431690129
R_1E3TJBNJVtr3tcD,10,884,23437.03,26.51247737556561,1460,1.6515837104072397,8.545990538776039
R_1E53RXpod4qfyA7,4,192,5713.25,29.756510416666668,1460,7.604166666666667,7.713127857880355
R_1E5RqOd5LIHJqSq,31,142,2956.44,20.82,1453,10.232394366197184,6.099152352524899
R_1E5U50Tc4uzCeY2,46,68,1549.32,22.78411764705882,1366,20.08823529411765,4.614625344758847
R_1E6GWpRjzjM8bNK,35,46,1474.1499999999999,32.04673913043478,1359,29.543478260869566,5.3412331675248685
R_1E7ooGdyrfxLePW,47,74,1144.82,15.47054054054054,1435,19.39189189189189,5.309356213663253
R_1EafkWC1L7tVe0w,0,787,24029.83,30.53345616264295,1443,1.8335451080050826,9.195441939434216
R_1Eb0TuKdBzAPRU5,0,413,9612.95,23.27590799031477,1459,3.532687651331719,7.131922306365986
R_1EbBdl7Uln82HNr,12,104,2174.13,20.905096153846156,1440,13.846153846153847,7.3827837624756185
R_1EbOsVC9pLY3RmN,15,157,3820.25,24.3328025477707,1334,8.496815286624203,6.847474348097207
R_1EcWoboad0WrY5X,3,181,3481.81,19.236519337016574,1458,8.05524861878453,6.993005940154344
R_1Egu0oETMcJuIOb,9,232,7609.79,32.800818965517244,1443,6.219827586206897,7.551706963236678
R_1Eizh6ntwqDN9K1,4,62,1949.5,31.443548387096776,1431,23.080645161290324,7.716189048333118
R_1F2tvNSRK2zrouN,31,238,5423.25,22.78676470588235,1458,6.126050420168068,6.517656501754438
R_1F35QiIK5csZBEC,5,515,12025.0,23.349514563106798,1458,2.8310679611650484,8.428930122295846
R_1F4fgnTRZwHJ1WY,5,97,2618.31,26.992886597938142,1453,14.97938144329897,5.973656928458017
R_1F57CbiIhh4rOKq,4,119,3329.12,27.97579831932773,1451,12.193277310924369,6.89097527894212
R_1F5JRp7RYbcB55J,1,613,13742.24,22.41800978792822,1460,2.3817292006525284,7.962492305537752
R_1F5LdE5ipIiHqwA,34,68,1615.27,23.753970588235294,1428,21.0,5.697764402330638
R_1F8kBHmvN5XyD9g,16,223,4537.44,20.34726457399103,1444,6.475336322869955,6.831187360563146
R_1F8mw2kq3LVfGAd,5,82,2852.39,34.78524390243902,1303,15.890243902439025,4.875578929769415
R_1FCCFzxKwErO5Sp,167,8,188.0,23.5,1447,180.875,4.465563231601674
R_1FCKkx02ayJ8GvV,17,350,6298.58,17.995942857142857,1178,3.3657142857142857,7.957117797878339
R_1FCYNIyA9OC3dAo,10,312,10015.08,32.09961538461538,1459,4.676282051282051,7.030300291740013
R_1FDuPfFH7Gp0BWI,5,499,10900.94,21.84557114228457,1455,2.9158316633266534,8.834274344616901
R_1FEerxbp2OBvJyP,52,99,4944.24,49.94181818181818,1455,14.696969696969697,5.100658796743844
R_1FIIRdb0jGJ9oRe,4,526,17023.329999999998,32.36374524714829,1459,2.773764258555133,7.225576082571568
R_1FILvmI2ZEKHPPR,25,651,8812.26,13.536497695852535,1333,2.0476190476190474,8.110877721853234
R_1FJ01Kk4aB1BWNJ,44,183,2933.17,16.02825136612022,1460,7.978142076502732,7.114769448366463
R_1FJHvQm83j8lK35,3,653,8925.07,13.667794793261868,1460,2.23583460949464,8.550361007306975
R_1FJlXVDBsBrZOy3,4,333,13216.9,39.69039039039039,1450,4.354354354354355,8.404832677280236
R_1FOF7Wf94oe6aMa,16,37,1596.13,43.138648648648655,1385,37.432432432432435,3.754198920234579
R_1FOIfMkxbOPrpSF,34,38,920.59,24.22605263157895,777,20.44736842105263,6.908285138581743
R_1FPtnyDUi83F045,6,6,292.98,48.830000000000005,1422,237.0,5.017279836814924
R_1FQHtC65uMiLsjT,0,430,9915.81,23.060023255813952,1457,3.3883720930232557,7.575738485878532
R_1FRQDBoks93vPCz,5,315,9202.93,29.215650793650795,1459,4.631746031746032,6.811596739422416
R_1FRsomi7uxATDER,3,245,4886.69,19.945673469387753,1452,5.926530612244898,7.850882664809852
R_1FWSWSjBuPMvSgx,0,263,3784.65,14.390304182509507,1458,5.5437262357414445,7.265191932746268
R_1FaohPMY0mE5O4K,2,219,6611.18,30.188036529680367,1444,6.593607305936073,6.782996720839324
R_1Fb4EL4IE75q7lf,10,330,7287.67,22.083848484848485,1442,4.36969696969697,8.35705964991112
R_1FfETqbn5GhKwYj,31,115,3513.71,30.554000000000002,1362,11.843478260869565,6.648453320864647
R_1Ffcx0CMHqog6G8,9,419,11489.0,27.420047732696897,1453,3.467780429594272,8.167431439064261
R_1FfxhRRore9Zatj,9,153,3274.85,21.40424836601307,1450,9.477124183006536,6.77834111322059
R_1FgFVnfjrowZz1l,0,678,19819.01,29.231578171091442,1457,2.1489675516224187,8.704648216055224
R_1FmFI2FlHcSqbJj,44,68,1409.43,20.726911764705882,741,10.897058823529411,4.960253864535331
R_1FmFxVGW4771Ubh,47,60,1185.18,19.753,1431,23.85,5.744380444084709
R_1FmqNSKTkFPA2iS,1,459,6721.49,14.643769063180827,1458,3.176470588235294,8.808381111197264
R_1FmvdkhGeYstPcU,3,202,3478.84,17.221980198019804,1378,6.821782178217822,7.945714820438297
R_1FnbihJLqMICvMb,2,335,3763.09,11.23310447761194,1449,4.325373134328358,6.976002539236773
R_1Fqx3JMV50VhGvZ,14,84,5168.09,61.524880952380954,772,9.19047619047619,7.500380220524505
R_1FrdQkXjcUod40Z,5,174,4040.9,23.223563218390805,1459,8.385057471264368,6.643542306706942
R_1FvyK0jRfjYmXQd,2,856,6441.77,7.525432242990655,851,0.9941588785046729,7.964986389037927
R_1FwushWdNnxMnwa,0,810,12302.61,15.188407407407409,1459,1.8012345679012345,8.46830332227643
R_1Fxjci1mPvgmZs5,1,107,1646.79,15.390560747663551,1459,13.63551401869159,6.504153433920749
R_1FyNw1r0DyrEPsP,11,151,4059.39,26.88337748344371,1458,9.655629139072847,7.59664842394979
R_1Fyt4lN10F6TI3f,1,88,3140.76,35.69045454545455,1425,16.193181818181817,6.53464602857998
